Investigador,Nombre del producto,Tipo,Autores,Lugar,Editorial,ISSN,Revista,Año,Volumen,Página inicial,Página final
Yorladys Mayilsen Martínez Aroca,Ibagué imaginada como ciudad musical,23,"YORLADYS MAYILSEN MARTINEZ AROCA, TATIANA HERNANDEZ CIFUENTES, CARLOS MAURICIO SANTANA SAENZ, ANGELA MARIA LOPERA MOLANO",Colombia.,ISSN: 2027-3401,2027-3401,Perspectivas Educativas.,2018,"encias Sociales -- Otras Ciencias Sociales -- Ciencias Sociales, Interdisciplinaria,","aginarios Urbanos,",eas:
Yorladys Mayilsen Martínez Aroca,Evaluación de la sostenibilidad de una agrocadena de suministro de producto fresco orientada al mercado internacional. Caso aplicado a la cadena del Aguacate Hass en el norte del Tolima,23,"NELSON JAVIER TOVAR PERILLA, YORLADYS MAYILSEN MARTINEZ AROCA",Colombia.,ISSN: 2357-5042,2357-5042,INDAGARE.,2019,"geniería y Tecnología -- Otras Ingenierías y Tecnologías -- Ingeniería Industrial,","dena de suministro de alimentos,",eas:
Yorladys Mayilsen Martínez Aroca,Transformación de prácticas de trato postcosecha de la Guanábana para fortalecer identidad local y comercialización,23,"YORLADYS MAYILSEN MARTINEZ AROCA, TATIANA HERNANDEZ CIFUENTES, DANIEL LOPERA MOLANO, ANGELA MARIA LOPERA MOLANO",Colombia.,ISSN: 2357-5042,2357-5042,INDAGARE.,2019,"encias Sociales -- Otras Ciencias Sociales -- Ciencias Sociales, Interdisciplinaria,","mercialización,",eas:
Maximiliano Machado Higuera,Aproximando soluciones de ecuaciones diferenciales mediante reemplazos recursivos,23,MAXIMILIANO MACHADO HIGUERA,Colombia.,ISSN: 2322-7346,2322-7346,Reporte De Avances En Investigación.,2016,3,44,46
Maximiliano Machado Higuera,Métodos Numéricos En La Producción De Biogás,23,"HERNAN JAVIER HERRERA SUAREZ, MAXIMILIANO MACHADO HIGUERA",Colombia.,ISSN: 2744-8614,2744-8614,Congreso Colombiano de Métodos Numéricos.,2020,"encias Naturales -- Matemática -- Matemáticas Aplicadas,","gestión anaerobia,",eas:
Maximiliano Machado Higuera,Existencia de soluciones para un sistema perturbado de ecuaciones diferenciales que modela la digestion anaerobia para la produccion de biogas,22,MAXIMILIANO MACHADO HIGUERA,Colombia.,ISSN: 2322-7346,2322-7346,Reporte De Avances En Investigación.,2017,4,37,38
Edison Humberto Osorio López,Enlace químico en compuestos orgánicos cíclicos tipo propalenos,23,EDISON HUMBERTO OSORIO LOPEZ,.,ISSN: 2463-0004,2463-0004,Encuentro Nacional De Investigación Memorias.,2014,1,344,351
Edison Humberto Osorio López,"Estrategia para generar, teóricamente, cúmulos atómicos que puedan almacenar hidrógeno",23,EDISON HUMBERTO OSORIO LOPEZ,Colombia.,ISSN: 2463-0004,2463-0004,Encuentro Nacional De Investigación Memorias.,2015,1,154,164
Edison Humberto Osorio López,La química en el mundo de hoy,23,EDISON HUMBERTO OSORIO LOPEZ,Colombia.,ISSN: 2463-0004,2463-0004,Encuentro Nacional De Investigación Memorias.,2016,1,121,123
Hernán Javier   Herrera  Suárez,Estructura electrónica de la superficie Au (111),22,"HERNAN JAVIER HERRERA SUAREZ, ALBERTO RUBIO PONCE, RITO DANIEL OLGIN MELO",Colombia.,ISSN: 2248-843X,2248-843X,Periódico Digital Ávaconews.,2012,"encias Naturales -- Ciencias Físicas -- Física de la Materia,",1,eas:
Luz Patricia Naranjo Riano,LUMINISCENCIA DE VIDRIOS FLUORBORATOS CON NANOPARTICULAS DE PLATA E IONES Pr3+,23,LUZ PATRICIA NARANJO RIANO,Colombia.,ISSN: 2256-1013,2256-1013,Revista Colombiana De Materiales.,2014,5,256,261
Lida Marcela Franco Pérez,Determinación del efecto de pesticida neonicotinoides y temperaturas extremas sobre el crecimiento y desempeño de larvas de Apis mellifera,23,LIDA MARCELA FRANCO PEREZ,Colombia.,ISSN: 2500-8676,2500-8676,Sembrando Conocimiento.,2016,1,35,37
Lida Marcela Franco Pérez,Naturaleza Inadvertida,23,LIDA MARCELA FRANCO PEREZ,Colombia.,ISSN: 1900-592X,1900-592X,Arbol De Tinta.,2015,211,6,7
Lida Marcela Franco Pérez,Polinizadores: especies clave con un futuro incierto,23,LIDA MARCELA FRANCO PEREZ,Colombia.,ISSN: 2357-3899,2357-3899,Indsagare.,2015,3,54,55
Carlos Eduardo Beltran Reyes,Cattleya trianae classification and varieties by colorimetry,22,CARLOS EDUARDO BELTRAN REYES,Colombia.,ISSN: 1384-0703,1384-0703,Ieee Conference Publications.,2015,"ecutar el plan. examinar las soluciones,",labras:,"tegorias,"
Luz Esther  González REYES,"Optical properties of a 1D photonic crystals based on Cu3TMSe4 (TM= V, Nb, Ta) sulvanite compounds",23,LUZ ESTHER GONZALEZ REYES,Estados Unidos.,ISSN: 2429-1390,2429-1390,META Conference Proceedings.,2015,N/A,368,371
Tatiana Hernández Cifuentes,Ibagué imaginada como ciudad musical,23,TATIANA HERNANDEZ CIFUENTES,Colombia.,ISSN: 2027-3401,2027-3401,Perspectivas Educativas.,2019,8,107,122
Tatiana Hernández Cifuentes,Transformación de prácticas de trato postcosecha de la Guanábana para fortalecer identidad local y comercialización,23,TATIANA HERNANDEZ CIFUENTES,Colombia.,ISSN: 2357-5042,2357-5042,INDAGARE.,2019,7,28,35
Tatiana Hernández Cifuentes,Identificación de megatendencias para la integración de TI en turismo,23,TATIANA HERNANDEZ CIFUENTES,Colombia.,ISSN: 2357-5042,2357-5042,INDAGARE.,2019,7,19,27
Tatiana Hernández Cifuentes,Presente y futuro del sector de biocombustibles en el departamento del Tolima,23,TATIANA HERNANDEZ CIFUENTES,Colombia.,ISSN: 2322-7346,2322-7346,Reporte De Avances En Investigación.,2015,2,106,109
Luz Adriana Sánchez Echeverri,Residuos de Cereales y sus beneficios,23,LUZ ADRIANA SANCHEZ ECHEVERRI,Colombia.,ISSN: 2357-3899,2357-3899,Indsagare.,2014,1,12,13
Luz Adriana Sánchez Echeverri,WEBEX Una excelente alternativa para tutores y estudiantes en el desarrollo de trabajos colaborativos y asesorias virtuales,23,LUZ ADRIANA SANCHEZ ECHEVERRI,Colombia.,ISSN: 2027-6125,2027-6125,Meido De Difusión Científica Y Cultural De La Und Zona Sur.,2014,48,1,2
Sergio Alejandro Balaguera Reina,Manejo y conservación de biodiversidad en cultivos de palma de aceite (Elaeis guineensis): responsabilidad ambiental global,23,"SERGIO ALEJANDRO BALAGUERA REINA, JOSE FERNANDO GONZALEZ MAYA",Colombia.,ISSN: 2145-6852,2145-6852,"Boletín Alúna, Boletín Oficial Del Proyecto De Conservación De Aguas Y Tierras Procat Colombia/Internacional.",2010,3,30,32
Sergio Alejandro Balaguera Reina,Revistas científicas latinoamericanas: necesidad de una herramienta propia para el desarrollo,23,"JOSE FERNANDO GONZALEZ MAYA, SERGIO ALEJANDRO BALAGUERA REINA, DIEGO ANDRES ZARRATE CHARRY, AMANCAY DE ATACAMA CEPEDA MERCADO",Colombia.,ISSN: 2145-6852,2145-6852,"Boletín Alúna, Boletín Oficial Del Proyecto De Conservación De Aguas Y Tierras Procat Colombia/Internacional.",2009,2,3,4
Sergio Alejandro Balaguera Reina,"Crocodílidos como especies clave, una estrategia en la planificación para la conservación",23,SERGIO ALEJANDRO BALAGUERA REINA,Colombia.,ISSN: 2145-6852,2145-6852,"Boletín Alúna, Boletín Oficial Del Proyecto De Conservación De Aguas Y Tierras Procat Colombia/Internacional.",2009,2,9,11
Sergio Alejandro Balaguera Reina,Biodiversidad del mar Caribe colombiano se está perdiendo sin haber sido estudiada,22,"SERGIO ALEJANDRO BALAGUERA REINA, AMANCAY DE ATACAMA CEPEDA MERCADO, JOSE FERNANDO GONZALEZ MAYA, DIEGO ANDRES ZARRATE CHARRY",Colombia.,ISSN: 2011-6462,2011-6462,El Tiempo Lecturas Dominicales .,2009,N/A,N/A,
Sergio Alejandro Balaguera Reina,La Fauna silvestre en Colombia sigue amenazada por la irresponsabilidad de sus habitantes,22,SERGIO ALEJANDRO BALAGUERA REINA,Colombia.,ISSN: 2011-6462,2011-6462,El Tiempo Lecturas Dominicales .,2009,N/A,N/A,
Sergio Alejandro Balaguera Reina,"Modelos de apoyo a la conservación, necesidad para el progreso social",23,SERGIO ALEJANDRO BALAGUERA REINA,Colombia.,ISSN: 2145-6852,2145-6852,"Boletín Alúna, Boletín Oficial Del Proyecto De Conservación De Aguas Y Tierras Procat Colombia/Internacional.",2008,1,6,
Sergio Alejandro Balaguera Reina,"Cocodrilos ¿ de herencia a mito, una realidad colombiana.",22,SERGIO ALEJANDRO BALAGUERA REINA,Colombia.,ISSN: 1457-1548,1457-1548,Crocodile Specialist Group Newsletter.,2008,1,1,1
Yair Guillermo Molina Martínez,Aves del campus de la Universidad de Ibagué,23,"YAIR GUILLERMO MOLINA MARTINEZ, ROSSMAYRA MARULANDA BEJARANO, JUAN FELIPE DEL CASTILLO TELLEZ, MARLON DIAZ",Colombia.,ISSN: 2357-5042,2357-5042,INDAGARE.,2018,"encias Naturales -- Ciencias Biológicas -- Ecología,",eas:,"encias Naturales -- Ciencias Biológicas -- Zoología, Ornitología, Entomología, Ciencias Biológicas del Comportamiento,"
Richard Clayton Doughman III,El supermercado: un vacio cultural todo bajo el mismo techo,23,RICHARD CLAYTON DOUGHMAN III,Colombia.,ISSN: 0001-4605,0001-4605,"Revista Acción - Centro De Estudios Paraguayos, Antonio Guasch.",2010,N/A,5,6
Richard Clayton Doughman III,Comer bién es cuidar la mano que da de comer,23,RICHARD CLAYTON DOUGHMAN III,Paraguay.,ISSN: 0001-4605,0001-4605,"Revista Acción - Centro De Estudios Paraguayos, Antonio Guasch.",2010,N/A,4,5
Richard Clayton Doughman III,Qué comemos? Quiénes somos?,23,RICHARD CLAYTON DOUGHMAN III,Paraguay.,ISSN: 0001-4605,0001-4605,"Revista Acción - Centro De Estudios Paraguayos, Antonio Guasch.",2010,N/A,7,8
Richard Clayton Doughman III,Agricultura en el cañón de Anaime: una historia ambiental de la despensa agrícola del centro de Colombia,23,RICHARD CLAYTON DOUGHMAN III,Colombia.,ISSN: 2357-5042,2357-5042,INDAGARE.,2020,"manidades -- Historia y Arqueología -- Historia,","manidades -- Historia y Arqueología -- Historia de Colombia,","encias Sociales -- Geografía Social y Económica -- Geografía Económica y Cultural,"
Richard Clayton Doughman III,Organizaciones campesinas innovan en el contexto del Covid-19,22,"MARGARITA BOHORQUEZ, RICHARD CLAYTON DOUGHMAN III",Colombia.,ISSN: 7707-1808,7707-1808,El Nuevo Dia.,2020,"stemas alimentarios,","rcuitos Cortos,","beranía Alimentaria,"
Richard Clayton Doughman III,Las Cajamarcas: el Buen Vivir como tejido de lazos alternativos al extractivismo y a los conflictos eco-territoriales en Colombia y Perú,23,RICHARD CLAYTON DOUGHMAN III,Argentina.,ISSN: 2525-0841,2525-0841,Crítica y Resistencias.,2017,5,76,92
ALFREDO JOSE TORRES BENITEZ,Evaluation of seeds Moringa oleifera Lam. present in urban forests as a coagulant-flocculant for water treatment,23,"SIMON DAVID URREA FLORIAN, ALFREDO JOSE TORRES BENITEZ",Suiza.,ISSN: 2673-9976,2673-9976,Biology and Life Sciences Forum.,2021,4,1,3
ALFREDO JOSE TORRES BENITEZ,Evaluación de óxidos atmosféricos y su relación con la diversidad liquénica en el área urbana y periurbana de la ciudad de Ibagué,23,"MIGUEL MORENO, ALFREDO JOSE TORRES BENITEZ",Colombia.,ISSN: 2322-7346,2322-7346,Reporte De Avances En Investigación.,2017,1,46,47
ALFREDO JOSE TORRES BENITEZ,Physico-chemical characterization of soil in a tropical landscape restored by a vegetal succession,23,"HECTOR ESQUIVEL, ALFREDO JOSE TORRES BENITEZ",Suiza.,ISSN: 2673-4931,2673-4931,Environmental Sciences Proceedings.,2021,3,45,48
Miguel César Moreno Palacios,Calidad del aire de Ibagué: alternativas de evaluación,23,MIGUEL CESAR MORENO PALACIOS,Colombia.,ISSN: 2619-6034,2619-6034,Arbol De Tinta.,2019,"encias Naturales -- Ciencias de la Tierra y Medioambientales -- Ciencias del Medio Ambiente,",eas:,"encias Naturales -- Ciencias Biológicas -- Botánica y Ciencias de las Plantas,"
Juan Sebastian Trujillo Hernandez,Effect of Heat Treatment on the Structural and Magnetic Properties of the System Fe56.25 Al43.75 Prepared by Mechanical Alloying,22,JUAN SEBASTIAN TRUJILLO HERNANDEZ,Colombia.,ISSN: 2236-7535,2236-7535,Physicæ Proceedings.,2012,N/A,1,7
