Grupo,Nombre del producto,Tipo,Año inicio,Año fin
NATURATU,DISEÑO Y MUESTREO DE SONDEOS DE OPINIÓN POLÍTICA EN IBAGUÉ, Extensión y responsabilidad social CTI,,
NATURATU,LOS EGRESADOS DE CORUNIVERSITARIA EN EL SECTOR EMPRESARIAL A COMIENZOS DEL NUEVO MILENIO, Extensión y responsabilidad social CTI,,
NATURATU,EVALUACIÓN Y PRONÓSTICO DE LOS PRINCIPALES CULTIVOS SEMESTRALES EN IBAGUÉ, Extensión y responsabilidad social CTI,,
NATURATU,Implementación de un sistema de acuaponía para la experimentación y el emprendimiento a escala familiar, Investigación y desarrollo,2022/1,Actual
NATURATU,Gal Discovery: Identificación de potenciales inhibidores de la acetilcolinesterasa a partir de derivados de galantamina o alcaloides de Amarillidaceas nativas fortaleciendo el descubrimiento de nuevos fármacos a partir de la biodiversidad colombiana, Investigación y desarrollo,2021/11,Actual
NATURATU,"Gal Biofactory- Desarrollo de una biofábrica para la obtención de galantamina a partir del diseño racional in silico usando datos -OMICOS, como estrategia de producción biotecnológica de alcaloides", Investigación y desarrollo,2021/11,Actual
NATURATU,DISEÑO E IMPLEMENTACIÓN DE FILTROS ÓPTICOS BASADOS EN CRISTALES FOTÓNICOS PARA LA TRANSMISIÓN DE INFORMACIÓN A TEMPERATURAS CRIOGÉNICAS, Investigación y desarrollo,2021/2,Actual
NATURATU,La cuenca alimentaria de la Universidad de Ibagué: evaluación del potencial del sistema alimentario universitario como mercado para la agricultura familiar sostenible del Tolima, Investigación y desarrollo,2020/3,Actual
NATURATU,"Evaluación del uso de residuos agrícolas derivados de la cosecha y procesamiento de arroz, café y maíz como alternativa de material cementante, para el mejoramiento mecánico de aceros de bajo carbono mediante tratamiento termoquímico de cementación sólida", Investigación y desarrollo,2020/2,Actual
NATURATU,Calidad en procesos educativos: Análisis semiótico de criterios evaluativos, Investigación y desarrollo,2019/8,Actual
NATURATU,La reconstrucción de lo público a partir del pequeño municipio: la perspectiva de gobernanza desde las actividades productivas prevalecientes., Investigación y desarrollo,2019/5,Actual
NATURATU,"Sistema de alertas tempranas en cultivos de arroz basado en imágenes de reflectancia, térmica y RGB de alta resolución tomadas desde drones con el fin de mejorar la productividad de los cultivos de arroz en el departamento del Tolima"," Investigación, desarrollo e innovación",2019/5,Actual
NATURATU,Estudio del efecto del flujo de nitrógeno en las propiedades de recubrimientos de TiNbNx para determinar su funcionabilidad como película protectora en piezas mecánicas sometidas a desgaste en procesos abrasivos., Investigación y desarrollo,2019/3,Actual
NATURATU,"""Estructura Agroecológica Principal y determinación de materia orgánica como indicador de calidad del suelo de fincas cafeteras en el departamento del Tolima", Investigación y desarrollo,2019/2,Actual
NATURATU,Evaluación de la sostenibilidad desde el punto de vista técnico de una agrocadena de suministro de producto fresco orientada al mercado  internacional.  Caso aplicado a la cadena del aguacate Hass originaria en el norte del Tolima, Investigación y desarrollo,2019/2,Actual
NATURATU,Development of rare earth free permanent magnets with different compositions," Investigación, desarrollo e innovación",2019/2,2020/2
NATURATU,Cuantificación automática del número celular en el cerebro de Drosophila, Investigación y desarrollo,2019/1,Actual
NATURATU,CRECIMIENTO Y CARACTERIZACIÓN DE UNA MULTICAPA FOTÓNICA COMPUESTA POR MATERIALES FERROELECTRICO/SUPERCONDUCTOR Y SU APLICACIÓN COMO DISPOSITIVO OPTOELECTRÓNICO., Investigación y desarrollo,2019/1,Actual
NATURATU,Influencia de la dieta sobre las características toxinológicas y toxicológicas de diferentes poblaciones colombianas de Phoneutria boliviensis (arane: ctenidae): aplicación de varias líneas de evidencia para el manejo de artrópodos venenosos..., Investigación y desarrollo,2018/12,Actual
NATURATU,"VARIACIÓN FILOGEOGRÁFICA, MORFOLÓGICA Y BIOACÚSTICA EN POBLACIONES DE Arremonops conirostris", Investigación y desarrollo,2018/10,Actual
NATURATU,DIAGNÓSTICO DE LOS PRESTADORES DE SERVICIOS TURÍSTICOS ASOCIADOS A LA RUTA DE AVITURISMO DEL NORTE DEL TOLIMA, Investigación y desarrollo,2018/8,2018/12
NATURATU,"SISTEMÁTICA Y CONSERVACIÓN DE LA BABILLA DEL RÍO APAPORIS (Caiman crocodilus apaporiensis MEDEM 1955), TRAPECIO AMAZÓNICO, COLOMBIA", Investigación y desarrollo,2018/8,Actual
NATURATU,"Orquídeas del cañón del Combeima, Departamento del Tolima. Determinación de sus índices de diversidad y florística", Investigación y desarrollo,2018/7,Actual
NATURATU,Evaluando el efecto de la dosis residual de un neonicotinoide en el microbioma intestinal de Apis mellifera usando técnicas metagenómicas, Investigación y desarrollo,2018/1,Actual
NATURATU,"Comportamiento depredador, metabolismo energético y efectos toxinológicos de Phoneutria boliviensis", Investigación y desarrollo,2018/1,2019/12
NATURATU,Teoría de Galois diferencial y control en un modelo dinámico de digestión anaerobia para tratamiento de aguas residuales, Investigación y desarrollo,2018/1,Actual
NATURATU,"Diseño e implementación, a nivel piloto, de un modelo de gestión de cadena de suministro sustentable para la agrocadena del Aguacate Hass en el norte del Tolima, con el fin de apoyar su proceso de internacionalización", Investigación y desarrollo,2018/1,2020/12
NATURATU,Teoría de Galois diferencial y control en un modelo dinámico de digestión anaerobia para tratamiento de aguas residuales, Investigación y desarrollo,2018/1,2019/12
NATURATU,LÍQUENES CORTÍCOLAS COMO INDICADORES DE CALIDAD ATMOSFÉRICA EN RESERVAS DE LA SOCIEDAD CIVIL DEL MUNICIPIO DE IBAGUÉ, Investigación y desarrollo,2018/1,2019/6
NATURATU,IDENTIFICACIÓN QUÍMICA DE METABOLITOS SECUNDARIOS EN LÍQUENES DEL GÉNERO Sticta spp. EN EL DEPARTAMENTO DEL TOLIMA, Investigación y desarrollo,2018/1,2019/6
NATURATU,Propiedad intelectual y adecuación de la oferta," Investigación, desarrollo e innovación",2018/1,2018/12
NATURATU,Desarrollo de sensores electroquímicos basados en electrodos serigrafiados de carbono útiles para detectar fumigantes de uso comercial, Investigación y desarrollo,2017/8,2018/12
NATURATU,DINÁMICA DE LA CALIDAD ATMOSFÉRICA DE IBAGUÉ A TRAVÉS DE GRADIENTES DE INTERVENCIÓN, Investigación y desarrollo,2017/7,2018/7
NATURATU,COMPOSICIÓN Y DIVERSIDAD DE LA FLORA ARVENSE DE UN PAISAJE CAFETERO EN EL CENTRO DEL DEPARTAMENTO DEL HUILA, Investigación y desarrollo,2017/7,2018/7
NATURATU,DINÁMICA DE LA CALIDAD ATMOSFÉRICA DE IBAGUÉ A TRAVÉS DE  GRADIENTES DE INTERVENCIÓN, Investigación y desarrollo,2017/4,2018/3
NATURATU,Desarrollo de quimiosensores para la detección de iones mercúricos en agua mediante técnicas espectrofotométricas," Investigación, desarrollo e innovación",2017/2,2020/10
NATURATU,Diversidad de líquenes cortícolas en el bosque subandino El Espejo de la microcuenca de la quebrada Ambalá en la ciudad de Ibagué, Investigación y desarrollo,2017/2,2018/7
NATURATU,Flora arbórea y ornamental del campus de la Universidad de Ibagué (Tolima-Colombia), Investigación y desarrollo,2017/2,2018/7
NATURATU,"Extracción e identificación cualitativa de los metabolitos secundarios presentes en Zamia furfuracea (Cycadales, Zamiaceae)", Investigación y desarrollo,2017/2,2018/7
NATURATU,Calibración y puesta en marcha de un sistema tamizador para los análisis granulométricos de sedimentos en ríos del Departamento del Tolima, Investigación y desarrollo,2017/2,2017/11
NATURATU,Puesta en marcha y calibración de una mesa hidrogravimétrica para la concentración de minerales pesados metálicos y no metálicos, Investigación y desarrollo,2017/2,2017/11
NATURATU,"Estudio técnico y participativo de la biodiversidad aviar del municipio de Ibagué-Tolima, como estrategia para la consolidación del ecoturismo de aves, la  conservación de sus hábitats y el desarrollo de procesos de educación ambiental", Extensión y responsabilidad social CTI,,
NATURATU,"Composición y estructura de las aves del campus de la Universidad de Ibagué, Ibagué ¿ Tolima, Colombia: Fase 1.", Investigación y desarrollo,2017/2,2018/5
NATURATU,"Estudio técnico y participativo de la biodiversidad aviar del municipio de Ibagué - Tolima, como estrategia para la consolidación del ecoturismo de aves, la  conservación de sus hábitats y el desarrollo de procesos de educación ambiental."," Investigación, desarrollo e innovación",2017/2,2018/3
NATURATU,Identificación química de los metabolitos secundarios de Usnea rubicunda Stirton y evaluación de la actividad antioxidante, Investigación y desarrollo,2017/2,2017/9
NATURATU,IDENTIFICACIÓN  DE PESTICIDAS EN  CULTIVOS DE ARROZ MEDIANTE TECNICAS CROMATOGRAFICAS, Investigación y desarrollo,2017/2,2017/9
NATURATU,Host-guest assemblies of cucurbituril with coumarin dyes containing azathia-crown ether functionality for mercury sensing. Pointing to the single- and Thimerosal derived- ethyl mercury determination., Investigación y desarrollo,2017/1,Actual
NATURATU,"Filogeografia mitocondrial y nuclear de la Tangara rosada Rhodinocichla rosea (Lesson, 1832): el efecto del aislamiento geográfico y el nicho ecológico en los procesos de divergencia evolutiva.", Investigación y desarrollo,2017/1,Actual
NATURATU,"Filogeografia mitocondrial y nuclear de la Tangara rosada Rhodinocichla rosea (Lesson, 1832): el efecto del aislamiento geográfico y el nicho ecológico en los procesos de divergencia evolutiva.", Investigación y desarrollo,2017/1,Actual
NATURATU,Comportamiento depredador de Phoneutria sp. (Aranaea:Ctenidae) bajo condiciones de laboratorio, Investigación y desarrollo,2017/1,2017/11
NATURATU,PLAN DE MANEJO AMBIENTAL RESERVA NATURAL DE LA SOCIEDAD CIVIL LA ESTRELLA RNSC 010 11, Extensión y responsabilidad social CTI,,
NATURATU,Plan de Manejo Ambiental de la Reserva Natural de la Sociedad Civil Conjunto Reservas Naturales de SUMICOL S.A. La Estrella - RNSC01011, Investigación y desarrollo,2016/11,2017/3
NATURATU,EVALUACIÓN PRELIMINAR DE LA CALIDAD ATMOSFÉRICA EN ZONAS VERDES DE LA CIUDAD DE IBAGUÉ A TRAVÉS DEL ESTUDIO DE LÍQUENES CORTÍCOLAS, Investigación y desarrollo,2016/10,2017/10
NATURATU,"Determinación del efecto del pesticida neonicotinoide (imidaclopríd) sobre la tasa metabólica estándar de larvas y pupasde Apis mellifera""", Investigación y desarrollo,2016/10,2018/1
NATURATU,Evaluación de los niveles de presión sonora y su efecto sobre y la audición en estudiantes de seis instituciones educativas de la ciudad de Ibagué, Investigación y desarrollo,2016/10,2017/10
NATURATU,Desarrollo de sensores electroquímicos para detectar colorantes sintéticos en alimentos de consumo masivo. Posible uso alternativo a las técnicas convencionales de detección., Investigación y desarrollo,2016/8,2018/12
NATURATU,Existencia de soluciones para un sistema perturbado de ecuaciones diferenciales que modelan la digestión anaerobia para la producción de biogás., Investigación y desarrollo,2016/8,2018/12
NATURATU,Evaluación de los niveles de presión sonora y su efecto sobre la presión arterial y la audición en estudiantes de dieciséis instituciones educativas de la ciudad de Ibagué, Investigación y desarrollo,2016/8,2017/10
NATURATU,Introducción al análisis magnético y estructural de suelos cultivables con café en el departamento del Tolima, Investigación y desarrollo,2016/8,2017/8
NATURATU,La historia ambiental de la producción agroalimentaria en la cuenca del río Anaime, Investigación y desarrollo,2016/8,2018/9
NATURATU,Evaluación preliminar de la calidad atmosférica en zonas verdes de la ciudad de Ibagué a través del estudio de líquenes cortícolas, Investigación y desarrollo,2016/8,2018/7
NATURATU,Dirección de Instituciones de Educación Superior, Investigación y desarrollo,2016/8,2017/11
NATURATU,Dirección de Instituciones de Educación Superior, Investigación y desarrollo,2016/8,2017/11
NATURATU, PLAN DE MANEJO AMBIENTAL RESERVA NATURAL DE LA SOCIEDAD CIVIL LA ESTRELLA RNSC 010 11, Investigación y desarrollo,2016/8,2018/8
NATURATU,EVALUACIÓN DE ÓXIDOS ATMOSFÉRICOS Y SU RELACIÓN CON LA DIVERSIDAD LIQUÉNICA EN EL ÁREA URBANA Y PERIURBANA DE LA CIUDAD DE IBAGUÉ-TOLIMA, Investigación y desarrollo,2016/8,2017/12
NATURATU,Efecto de la dosis subletal del pesticida neonicotinoide (Imidacloprid) sobre el desempeño fisiológico de reinas de Apis mellifera., Investigación y desarrollo,2016/7,2017/12
NATURATU,Efecto de un pesticida neonicotinoide (IMIDACLOPRID) sobre la tasa metabólica estándar de abejas obreras adultas de Apis mellifera., Investigación y desarrollo,2016/7,2017/11
NATURATU,EVALUACIÓN DE ÓXIDOS ATMOSFÉRICOS Y SU RELACIÓN CON LA DIVERSIDAD LIQUÉNICA EN EL ÁREA URBANA Y PERIURBANA DE LA CIUDAD DE IBAGUÉ-TOLIMA, Investigación y desarrollo,2016/7,2017/8
NATURATU,Desarrollo de sensores electroquímicos para detectar colorantes sintéticos en alimentos de consumo masivo. Posible uso alternativo a las técnicas convencionales de detección., Investigación y desarrollo,2016/7,2018/7
NATURATU,"Plan de Manejo Ambiental de la Reserva Natural de la Sociedad Civil, Conjunto reservas Naturales de SUMICOL S.A La estrella RNSC01011", Investigación y desarrollo,2016/7,2017/5
NATURATU,Desarrollo de sensores electroquímicos para detectar colorantes sintéticos en alimentos de consumo masivo. Posible uso alternativo a las técnicas convencionales de detección., Investigación y desarrollo,2016/7,2018/11
NATURATU,Efecto del pesticida neonicotinoide (IMIDACLOPRID) sobre la tasa metabólica estándar de larvas  y pupas de Apis mellifera, Investigación y desarrollo,2016/6,2017/8
NATURATU,Caracterización de la bioacumulación de pesticidas en cultivos de cítricos (limón) mediante cromatografía de gases, Investigación y desarrollo,2016/2,Actual
NATURATU,"EXTRACCIÓN, SEPARACIÓN E IDENTIFICACIÓN CUALITATIVA DE LOS METABOLITOS SECUNDARIOS PRESENTES EN LÍQUENES DEL GÉNERO Usnea spp.", Investigación y desarrollo,2016/2,2017/2
NATURATU,Estructura y diversidad florística de un remanente de bosque Subandino de la microcuenca de la quebrada Ambalá en la ciudad de Ibagué, Investigación y desarrollo,2016/2,Actual
NATURATU,"Determinación del efeccto de pesticidas neonicotinoides y temperaturas termicas extremas, sobre el crecimiento y desempeño de larvas de Apis mellifera", Investigación y desarrollo,2016/2,2016/12
NATURATU,"Diagnóstico, manejo y mitigación de los impactos ambientales y sosciales en el remanente de bosque subandino ""El Espejo"" de la Universidad de Ibagué", Investigación y desarrollo,2016/2,2017/10
NATURATU,Construcción de un algoritmo computacional simbólico en series de potencias a partir de ecuaciones diferenciales ordinarias, Investigación y desarrollo,2016/2,2017/12
NATURATU,Quantification des processus d'exhumation orogéniques et relation entre tectonique et climat: apport de thermochronologie de basses températures et la modélisation numérique, Investigación y desarrollo,2016/2,2018/12
NATURATU,Supramolecular Catalysis on Aminolysis/Hydrolysis of carbonates derivatives, Investigación y desarrollo,2016/1,Actual
NATURATU,"Desarrollo de electrodos modificados con óxidos de metales de transición. Posible aplicación como sensores amperométricos de rápida detección de dopamina (DP) ácido ascórbico, (AA) y ácido úrico"," Investigación, desarrollo e innovación",2016/1,2018/4
NATURATU,"Cambios en algunas propiedades biológicas del suelo a diferentes profundidades en sistemas cafeteros en Líbano, Tolima.", Investigación y desarrollo,2016/1,2017/1
NATURATU,"Diagnóstico, manejo y mitigación de los impactos ambientales y sociales en el remanente de bosque subandino ¿El Espejo¿ en la Universidad de Ibagué", Investigación y desarrollo,2016/1,2016/11
NATURATU,"Desarrollo de electrodos modificados con óxidos de  metales de transición.  Posible aplicación como sensores amperométricos de rápida detección de dopamina (DP) ácido ascórbico, (AA)  y ácido úrico (AU)."," Investigación, desarrollo e innovación",2016/1,2018/1
NATURATU,Evaluación de la descomposición de la hojarasca y ciclaje de nutrientes en tres fragmentos de bosque seco tropical del departamento del Tolima., Investigación y desarrollo,2016/1,2017/1
NATURATU,"Relación de algunas propiedades biológicas y químicas con la productividad en sistemas cafeteros de Líbano, Tolima", Investigación y desarrollo,2016/1,2017/1
NATURATU,Estimación de tasas de exhumación de montañas y reactivación de fallas mediante modelado numérico termocinemático 3D de alto rendimiento, Investigación y desarrollo,2015/12,2018/3
NATURATU,Evaluación de los niveles de presión sonora en la Universidad de Ibagué y su área de influencia, Investigación y desarrollo,2015/8,2016/10
NATURATU,EFECTOS DEL RUIDO ANTROPOGÉNICO SOBRE LAS CARACTERÍSTICAS VOCALES EN AVES URBANAS DE LA CIUDAD DE IBAGUÉ: DIAGNÓSTICO DEL RUIDO Y BIOINDICACIÓN., Investigación y desarrollo,2015/8,2017/6
NATURATU,Desarrollo de sensores electroquímico soportados sobre eléctrodos modificados aplicados al monitoreo de metales pesados en fuentes naturales de aguas., Investigación y desarrollo,2015/8,2016/8
NATURATU,DIVERSIDAD Y DISTRIBUCIÓN DE LÍQUENES CORTÍCOLAS EN EL ÁREA URBANA Y PERIURBANA DE LA CIUDAD DE IBAGUÉ-TOLIMA, Investigación y desarrollo,2015/7,2016/6
NATURATU,Aproximando soluciones de ecuaciones diferenciales mediante reemplazos recursivos, Investigación y desarrollo,2015/7,2016/8
NATURATU,DETERMINACIÓN DE LA MATERIA ORGANICA DE SUELOS MEDIANTE TÉCNICAS ESPECTROSCÓPICAS, Investigación y desarrollo,2015/7,2018/5
NATURATU,Estructura y diversidad florística de un remanente de bosque subandino de la microcuenca de la quebrada Ambalá en la ciudad de Ibagué, Investigación y desarrollo,2015/7,2017/9
NATURATU,Desarrollo de sensores electroquímico soportados sobre eléctrodos modificados aplicados al monitoreo de metales pesados en fuentes naturales de aguas," Investigación, desarrollo e innovación",2015/7,2016/11
NATURATU,Diversidad y distribución de líquenes cortícolas en el área urbana y periurbana de la ciudad de Ibagué-Tolima, Investigación y desarrollo,2015/7,2017/1
NATURATU,Teoría de Galois en un modelo de digestión anaerobia para la producción de biogás, Investigación y desarrollo,2015/7,2016/8
NATURATU,Aproximando soluciones de ecuaciones diferenciales mediante reemplazos recursivos, Investigación y desarrollo,2015/7,2016/8
NATURATU,Determinación de ión mercúrico mediante espectrofotometría UV-Vis y fluorescencia, Investigación y desarrollo,2015/6,2016/6
NATURATU,Síntesis de sondas fluorescentes derivadas de cumarinas y su aplicación como marcadores mitocondriales.," Investigación, desarrollo e innovación",2015/5,2017/6
NATURATU,"Caracterización de grupos troficos de nematodos de vida libre como Bioindicadores de la calidad y salud del suelo cafeteros en el municipio de Líbano, Tolima", Investigación y desarrollo,2015/2,2016/8
NATURATU,Alcaloides del género Erythrina, Investigación y desarrollo,2015/1,2015/2
NATURATU,"Evaluación de algunas propiedades biológicas en sistemas productivos de café en Líbano, Tolima", Investigación y desarrollo,2015/1,2017/8
NATURATU,Desarrollo y Optimización de nuevos dosímetros químicos fluorescentes útiles para el reconocimiento de derivados de SO2 y su aplicación en muestras reales., Investigación y desarrollo,2015/1,2017/Sin mes
NATURATU,Estudio y análisis de patrones colorimetricos en Catlteya trianae tipo y todas las variedades concolor, Investigación y desarrollo,2015/1,2016/12
NATURATU,Global pollinator declines: Assessing the physiological susceptibility of honey bees to pesticides and global warming, Investigación y desarrollo,2015/1,2017/2
NATURATU,"Estudio de las propiedades electrónicas de la superficie (111) del V, Cr, Mn y Mo.", Investigación y desarrollo,2015/1,2016/1
NATURATU,Modelo de Box Jenkins en la dinámica de producción con agricultura orgánica en el departamento del Tolima, Investigación y desarrollo,2014/8,Actual
NATURATU,Effect of alkaline treatments of Guadua fibres on flexural strength of cement composite boards, Investigación y desarrollo,2014/8,2020/4
NATURATU,Diseño y síntesis de quimiosensores específicos para Hg2+ y su aplicación ambiental," Investigación, desarrollo e innovación",2014/7,2016/7
NATURATU,Aislamiento de alcaloides de Erythrinarubrinervia y afinidad por receptores nicotínicos de acetilcolina, Investigación y desarrollo,2014/7,2015/7
NATURATU,"Diseño de una unidad didáctica para la enseñanza y el aprendizaje del tema Movimiento Oscilatorio desde la articulación de los conceptos físicos, el modelamiento matemático y sus aplicaciones", Extensión y responsabilidad social CTI,,
NATURATU,"Diseño de una unidad didáctica para la enseñanza y el aprendizaje del tema Movimiento Oscilatorio desde la articulación de los conceptos físicos, el modelamiento matemático y sus aplicaciones", Investigación y desarrollo,2014/6,2016/1
NATURATU,Diseño y síntesis de quimiosensores específicos para Hg2+ y su aplicación ambiental, Investigación y desarrollo,2014/6,2016/10
NATURATU,"Estudio ecológico y genético de la (s) población (es) de nutria neotropical (Lontra longicaudis), aguas arriba y aguas abajo de la Central hidroeléctrica la Miel I", Investigación y desarrollo,2014/5,2017/12
NATURATU,"Aplicación de un método agroecológico para la evaluación de sostenibilidad de sistemas productivos de café en el municipio del Líbano, Tolima.", Investigación y desarrollo,2014/2,2015/11
NATURATU,Estudio y modelamiento de los tiempos de captura en pozos cuánticos basados en nitruro de Galio, Investigación y desarrollo,2013/2,2015/8
NATURATU,Dirección de instituciones de educación superior, Extensión y responsabilidad social CTI,,
NATURATU,SÍNTESIS DE COMPUESTOS BIFUNCIONALES COMO POSIBLES AGENTES NEUROPROTECTORES, Investigación y desarrollo,2013/1,2016/10
NATURATU,Fichas de especies para actualización de Libro Rojo de Aves de Colombia, Investigación y desarrollo,2013/1,2017/Sin mes
NATURATU,Semillero Manejo Agroecológico como Estrategia de Conservación, Investigación y desarrollo,2013/1,2018/7
NATURATU,"Relación clima-tectónica y procesos superficiales en el norte de Suramérica, mediante geomorfología, termocronología cuantitativa y geomática", Investigación y desarrollo,2013/1,2015/12
NATURATU,"Dispersal, genetic differentiation and kinship of an ancient marsupial (Dromiciops gliroides) in a highly fragmented landscape", Investigación y desarrollo,2012/9,2014/9
NATURATU,Desarrollo de kits moleculares para la determinación de hierro," Investigación, desarrollo e innovación",2012/9,2013/9
NATURATU,USO DE TÉCNICAS ÓPTICAS PARA DETERMINAR EL NIVEL DE  MATERIA ORGANICA EN LA PLANTA DE TRATAMIENTO DE AGUA RESIDUAL  DE LA UNIVERSIDAD DE IBAGUÉ, Investigación y desarrollo,2012/7,2014/12
NATURATU,"Efecto de la fragmentación del bosque templado Valdiviano, sobre la diversidad genética de micromamíferos: El monito de monte como modelo de estudio", Investigación y desarrollo,2012/7,2014/7
NATURATU,"Determinación de la relación entre relieve, clima, tectónica y biodiversidad en orógenos circundantes a la cuenca del río Orinoco mediante métodos multiherramientas", Investigación y desarrollo,2012/5,2016/2
NATURATU,Formulación del plan de manejo de residuos sólidos reciclables en la Universidad de Ibague, Investigación + Creación,2012/3,2018/7
