Grupo,Nombre del producto,Tipo,Año inicio,Año fin
NATURATU,"Modelización, Simulación, Control Y Optimización de la Producción de metano e hidrogeno por vía digestión anaerobia de residuos orgánicos, urbanos y agrícolas", Investigación y desarrollo,2012/3,2013/12
NATURATU,Geociencia Integral de los Andes de Mérida (GIAME), Investigación y desarrollo,2012/1,2016/1
NATURATU,"REVELANDO PROCESSOS EVOLUTIVOS DO COMPLEXO MIMUS GILVUS NO BRASIL: UMA INTERAÇÃO ENTRE A ADAPTAÇÃO MORFOLÓGICA, A DIVERSIDADE GENÉTICA, O CANTO E A DISTRIBUIÇÃO GEOGRÁFICA - REVELANDO PROCESOS EVOLUTIVOS DEL COMPEJO MIMUS GILVUS EN EL BRASIL", Investigación y desarrollo,2011/9,2015/7
NATURATU,Desarrollo de competencias genéricas para el acceso y permanencia en la educación superior dirigido a estudiantes de educación media del colegio Hermann Gmeiner de la ciudad de Ibagué, Investigación y desarrollo,2011/8,2013/12
NATURATU,Estudio y modelamiento de los tiempos de captura en pozos cuánticos basados  en nitruro de Galio, Investigación y desarrollo,2011/8,2013/8
NATURATU,CARACTERIZACIÓN QUÍMICA COMPOSICIONAL EN EL RESIDUO (TAMO) DE DIFERENTES VARIEDADES  DE ARROZ EN EL  MUNICIPIO DE IBAGUÈ, Investigación y desarrollo,2011/8,2012/9
NATURATU,Caracterización química composicional del residuo (tamo) de diferentes variedades de arroz en el municipio de Ibagué, Investigación y desarrollo,2011/8,2012/7
NATURATU,Utilización de fibras orgánicas (fique y Guadua) en compuestos de matriz polimérica para aplicaciones de impacto, Investigación y desarrollo,2011/7,2013/7
NATURATU,Caracterización de la avifauna en un paisaje fragmentado de bosque seco tropical en el norte del Tolima (Colombia). Programa Monitoreo de Aves (PMA) Fase I: 2011-2015, Investigación y desarrollo,2011/1,2015/12
NATURATU,Efecto de tratamientos térmicos sobre la estabilidad del salvado de arroz, Investigación y desarrollo,2010/8,2011/9
NATURATU,ANÁLISIS DE LA ABSORCION DE LA MATERIA ORGANICA DE LA PLANTA DE LA UNIVERSIDAD DE IBAGUE, Investigación y desarrollo,2010/7,2011/7
NATURATU,METODOS NUMERICOS PARA EL ANALISIS DE LA VOLATILIDAD DEL PRECIO DE LA ENERGIA ELCTRICA  EN COLOMBIA., Extensión y responsabilidad social CTI,,
NATURATU,"control y regulación del sopor en el único mamífero hibernante sudamericano, el marsupial ancestral ¿monito del monte¿ Dromiciops gliroides (Marsupialia: Microbiotheria)", Investigación y desarrollo,2009/10,2013/9
NATURATU,Modelamiento de sistemas dinámicos aplicados a la producción de biogás., Investigación y desarrollo,2009/8,2010/12
NATURATU,Calculo del rendimiento cuántico de la luminiscencia  de iones de tierras raras en presencia de nanopartículas de plata., Investigación y desarrollo,2009/6,2011/7
NATURATU,Zonificación y caracterización económica y ambiental de sistemas de producción con agricultura orgánica en el departamento del Tolima, Extensión y responsabilidad social CTI,,
NATURATU,La Montaña Rusa en el aprendizaje del concepto de limite, Investigación y desarrollo,2008/8,2009/5
NATURATU,"Diseño, documentación e implementación del Sistema de Gestión de la Calidad para el aseguramiento de la calidad analítica en el Laboratorio de Química de la Universidad de Ibagué basado en la norma ISO/IEC 17025.", Investigación y desarrollo,2008/6,2009/6
NATURATU,: UTILIZACIÓN DE VIDRIOS DE FESDESPATO DE LA MINA DE IBAGUE EN RECUBRIMIENTOS INDUSTRIALES, Investigación y desarrollo,2008/6,2010/2
NATURATU,Determinación del indice de producción de Biogas a partir del rumen de vaca por digestión anaerobia, Investigación y desarrollo,2008/5,2009/1
NATURATU,Evaluación de alternativas de aprovechamiento del biogás producido en los reactores UASB de la planta de aguas residuales el Tejar, Investigación y desarrollo,2008/1,2008/7
NATURATU,Determinación de constantes cineticas en el proceso biologico de la Planta piloto, Investigación y desarrollo,2007/11,2009/1
NATURATU,Determinación de OUR por el método respirometrico en el proceso de lodos activados, Investigación y desarrollo,2007/10,2009/1
NATURATU,"Sistema de Información Geográfico de los Ríos Prado, Coello y Amoya  en el Departamento del Tolima.", Investigación y desarrollo,2007/1,2009/Sin mes
NATURATU,El aprendizaje basado en problemas ABP aplicado a las ecuaciones diferenciales, Investigación y desarrollo,2006/1,2007/Sin mes
NATURATU,EVALUACIÓN Y PRONÓSTICO DE AGRICULTURA ECOLOGICA, Investigación y desarrollo,2005/1,Actual
NATURATU,Control Predictivo e Inteligente Aplicado al Tratamiento de las Aguas Residuales, Investigación y desarrollo,2005/1,2008/1
NATURATU,Procesamiento y caracterización de los nitruros de cromo depositados sobre un acero 316L en la atmósfera gaseosa a baja temperatura como alternativa de material en implantes médicos., Investigación y desarrollo,2005/1,Actual
NATURATU,"Determinación de las variables que intervienen en la reducción del pH de las aguas residuales industriales, utilizando gases de combustión", Investigación y desarrollo,2005/1,2008/11
NATURATU,"Sistema De Información Geográfico De Los Ríos Prado, Coello Y Amoya En El Departamento Del Tolima.", Investigación y desarrollo,2005/1,Actual
NATURATU,Diseño e Ingeneria de Detalle para la construcción  de Planta Piloto para un sistema integrado de tratamiento y reuso de aguas residuales domesticas," Investigación, desarrollo e innovación",2005/1,2005/6
NATURATU,Desarrollo de un sistema automatizado y de control remoto vía internet para un reactor monoevaporador de arco pulsado, Extensión y responsabilidad social CTI,,
NATURATU,Estructura electrónica de las superficies de metales de transición con estructura cristalográfica BCC y FCC, Investigación y desarrollo,2000/1,2018/10
Grupo de Investigación en Química Bioorgánica y Sistemas Moleculares -QBOSMO-,Comparación interpoblacional e intersexual de las funciones biomecánicas y propiedades toxicológicas de Phoneutria boliviensis (Aranae: Ctenidae) como respuesta a dieta variable y condición de estrés, Investigación y desarrollo,2020/8,Actual
Grupo de Investigación en Química Bioorgánica y Sistemas Moleculares -QBOSMO-,Amaryllidaceae del Tolima: fuente inexplorada de alcaloides para el tratamiento de la enfermedad de Alzheimer, Investigación y desarrollo,2020/7,Actual
Grupo de Investigación en Química Bioorgánica y Sistemas Moleculares -QBOSMO-,Bioproductos para el mejoramiento de inocuidad del cacao (Theobroma cacao) en Colombia, Investigación y desarrollo,2019/1,Actual
Grupo de Investigación en Química Bioorgánica y Sistemas Moleculares -QBOSMO-,Rastreo biodirigido de moléculas anticancerígenas inspiradas en productos naturales: Un enfoque integrado y aplicado a las especies de Amaryllidaceae, Investigación y desarrollo,2018/10,Actual
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Articulación de la enseñanza del pensamiento sistémico con la formación ciudadana en la universidad, Investigación y desarrollo,2022/11,Actual
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Co-creación de ambientes para la promoción de la salud mental en el contexto universitario de la Universidad Colegio Mayor de Cundinamarca posterior al confinamiento social producido con el COVID 19, Investigación y desarrollo,2022/1,Actual
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,"Métodos de investigación participativa para la expansión de capacidades humanas en un contexto universitario. El caso de la Universidad de Ibagué, en Colombia", Investigación y desarrollo,2021/10,Actual
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,"Apropiación social de las Tecnologías de la Información y la Comunicación, TIC, con asociaciones de productores agrícolas del Tolima, Colombia", Extensión y responsabilidad social CTI,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Aportes de los semilleros y grupos de investigación de Unibagué en el diseño multidisciplinar del Centro de Memoria Audiovisual para la Paz del Tolima, Investigación y desarrollo,2021/2,2022/7
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Educación Popular Ambiental para el fortalecimiento del desarrollo de capacidades humanas en la Vereda El Neme, Investigación y desarrollo,2020/11,Actual
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Fortalecimiento de procesos de innovación social y transformativa para el desarrollo en los departamentos de Tolima y Antioquia," Investigación, desarrollo e innovación",2020/8,2022/8
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Fortalecimiento de procesos de innovación social y transformativa para el desarrollo en los departamentos de Tolima y Antioquia, Investigación y desarrollo,2020/8,Actual
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO, Diseño participativo de un sistema integral de formación profesoral para una universidad regional, Investigación y desarrollo,2020/6,2021/3
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Formación de docentes y equipos de docencia basado en mindfulness," Investigación, desarrollo e innovación",2020/6,2021/3
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Diseño participativo de un sistema integral de formación profesoral para una universidad regional, Investigación y desarrollo,2020/6,2021/6
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Sistematización de una experiencia de apropiación social de CTeI para promover el pensamiento crítico en estudiantes del departamento del Tolima, Extensión y responsabilidad social CTI,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Prácticas docentes para la formación ciudadana en un curso de introducción al pensamiento sistémico: Experiencia de una universidad regional, Investigación y desarrollo,2020/3,2021/3
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Prácticas docentes para la formación ciudadana en un curso de introducción al pensamiento sistémico: Experiencia de una universidad regional, Investigación y desarrollo,2020/3,2021/3
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Prácticas docentes para la formación ciudadana en un curso de introducción al pensamiento sistémico: Experiencia de una universidad regional, Investigación y desarrollo,2020/3,2021/3
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Buscando las causas del diseño industrial en Colombia:, Investigación y desarrollo,2020/1,2021/11
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Utilización de modelamiento en dinámica de sistemas para evaluar la transición nutricional en el departamento del Tolima: Una estrategia para orientar políticas enmarcadas en el objetivo de desarrollo sostenible 3 (Salud y Bienestar), Investigación y desarrollo,2019/8,2022/1
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Desarrollo de quimiosensores para la detección de iones mercúricos en agua mediante técnicas espectrofotométricas," Investigación, desarrollo e innovación",2019/8,2020/7
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,"Implementación de una estrategia de apropiación social de la CTeI que promueva el pensamiento crítico y creativo en niños, niñas y jóvenes de las IE del Tolima.", Investigación y desarrollo,2019/3,2021/6
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,"Buscando las causas del diseño industrial en Colombia: decurso y promesas - FASE 2: Construyendo el posacuerdo para cumplir promesas, a partir de los diseños del Sur."," Investigación, desarrollo e innovación",2019/1,2021/11
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Diseño de un programa de formación de docentes universitarios en competencias y capacidades socioemocionales," Investigación, desarrollo e innovación",2019/1,2021/6
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Formación de docentes-investigadores en una unidad de pensamiento sistémico: un caso de innovación educativa en una universidad regional, Investigación y desarrollo,2019/1,2021/6
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Formación de docentes-investigadores en una Unidad de Pensamiento Sistémico: un caso de innovación educativa en una Universidad Regional, Investigación y desarrollo,2019/1,2021/11
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Experiencias pedagógicas para la aproximación a realidades complejas, Extensión y responsabilidad social CTI,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,El uso del comics en la enseñanza-aprendizaje del pensamiento sistémico en Unibagué: Diseño y Explotación Didáctica de un non-fiction comic book, Investigación y desarrollo,2018/1,2019/7
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Co-construcción de un modelo de Desarrollo Regional de la Universidad de Ibagué, Investigación y desarrollo,2018/1,2019/1
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Diseño de un dispositivo emancipatorio para la promoción de la salud con los miembros de la Universidad de Ibagué," Investigación, desarrollo e innovación",2018/1,2020/8
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Formación en Diseño de Futuros, Investigación + Creación,2018/1,2019/12
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Acciones Colectivas como herramienta pedagógica, Extensión y responsabilidad social CTI,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Acciones Colectivas como herramienta pedagógica, Extensión y responsabilidad social CTI,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Transformación de las prácticas de trato poscosecha de la Guanábana para fortalecer identidad local y comercialización, Investigación y desarrollo,2017/5,2019/12
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Transformación de las prácticas de trato poscosecha de la Guanábana para fortalecer identidad local y comercialización," Investigación, desarrollo e innovación",2017/5,2019/12
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Corredores de vida: Diseño piloto de una red de soporte a la movilidad no  motorizada en Ibagué, Investigación y desarrollo,2017/3,2017/9
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,"Diseño de una metodología para la co-creación de ambientes saludables en entornos educativos universitarios, a partir de la aplicación de la metodología de Diseño Centrado en los Seres Humanos", Investigación + Creación,2017/2,2018/10
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Co-construcción de prácticas articuladas de formación integral en el Ciclo Común Básico de la Universidad de Ibagué," Investigación, desarrollo e innovación",2017/2,2018/12
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Intervención artística estudiantil, Investigación + Creación,2017/2,2018/5
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Estudio de las relaciones colaborativas en una cadena de suministros: Un caso de aplicación a la Administración de Proyectos., Investigación y desarrollo,2017/2,2019/8
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,"Diseño de una metodología para la co-creación de ambientes saludables en entornos educativos universitarios, a partir de la aplicación de la metodología de Diseño Centrado en los Seres Humanos", Investigación y desarrollo,2017/2,Actual
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Diseño y calibración de un Sistema de Apoyo a la Toma de Decisiones para evaluar políticas de movilidad urbana en Ibagué, Investigación y desarrollo,2017/1,2020/1
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Formación en competencia de pensamiento sistémico con enfoque ciudadano en estudiantes universitarios," Investigación, desarrollo e innovación",2017/1,2018/5
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Diseño y calibración de un Sistema de Apoyo a la Toma de Decisiones para evaluar políticas de movilidad urbana en Ibagué, Investigación y desarrollo,2017/1,2019/7
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Contexto y Región Introducción al Pensamiento Sistemico - La 73, Investigación y desarrollo,2017/1,2018/1
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,"Diseño de una metodología para la co creación de ambientes saludables en entornos educativos universitarios, a partir de la aplicación de la metodología de Diseño Centrado en los Seres Humanos"," Investigación, desarrollo e innovación",2017/1,2017/12
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Formación en competencia de pensamiento sistémico con enfoque ciudadano en estudiantes universitarios," Investigación, desarrollo e innovación",2017/1,2018/5
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Formación en competencias de pensamiento sistémico con enfoque ciudadano en estudiantes universitarios," Investigación, desarrollo e innovación",2017/1,2018/5
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Experiencia pedagógica para la enseñanza del pensamiento sistemico y construccion de comunidades, Extensión y responsabilidad social CTI,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Diseño de una maestría en estudios sistémicos transdisciplinarios," Investigación, desarrollo e innovación",2017/1,2018/12
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Formación de equipos de investigación transdisciplinarios en salud, Investigación y desarrollo,2017/1,2018/1
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,La bitácora como dispositivo de reflexión-acción para docentes investigadores," Investigación, desarrollo e innovación",2017/1,2018/8
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Diseño de una metodología para el diseño de ambientes saludables en entornos educativos universitarios basado en el diseño centrado en seres humanos," Investigación, desarrollo e innovación",2017/1,2019/1
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Diseño y calibración de un Sistema de Apoyo a la Toma de Decisiones para evaluar políticas de movilidad urbana en Ibagué, Investigación y desarrollo,2017/1,2019/7
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,"Estudio piloto sobre Eficacia de la Terapia Sistémica, la Respiración Holotrópica y la Meditación Mindfulness en la rehabilitación de menores consumidores de sustancias psicoactivas (SPA).", Investigación y desarrollo,2016/8,2018/6
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Experiencia pedagógica para la enseñanza del pensamiento sistemico en el Cañón del Combeima, Extensión y responsabilidad social CTI,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,"Dinámicas de los estados nutricionales de la población colombiana a nivel departamental por sexo, edad y grupo socioeconómico.", Investigación y desarrollo,2016/7,2019/7
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,"Educación artística y formación integral en la Universidad de Ibagué, Colombia", Investigación y desarrollo,2016/7,2018/7
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,DISEÑO COMO COMPETENCIA TRANSVERSAL, Extensión y responsabilidad social CTI,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Diseño como competencia transversal, Extensión y responsabilidad social CTI,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Diseño y evaluación de una intervención integral basada en semáforos para la glorieta de la Avenida Ambalá con Calle 69 de Ibagué mediante microsimulación, Investigación y desarrollo,2016/2,2016/10
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Ibagué Imaginada," Investigación, desarrollo e innovación",2016/1,2017/1
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Representaciones sociales sobre la salud mental por parte de los miembros de una universidad regional, Investigación y desarrollo,2016/1,2016/12
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Representaciones Sociales  de la Salud Mental en los Miembros de una Universidad, Investigación y desarrollo,2016/1,2017/1
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Latin American University Research and Doctoral Support, Investigación y desarrollo,2015/10,2018/10
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Evaluación como dispositivo de transformación del rol docente," Investigación, desarrollo e innovación",2015/8,2017/11
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Evaluación constructivista como dispositivo de transformación del rol docente, Investigación y desarrollo,2015/8,2017/11
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Rol y perfil docente de un ambiente de formación universitaria en pensamiento sistémico, Investigación y desarrollo,2015/8,2016/3
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Estudio sistémico de la movilidad urbana en Ibagué mediante planificación interactiva y dinámica de sistemas, Investigación y desarrollo,2015/7,2016/7
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Estructuración de la situación actual del modelo de Universidad Promotora de salud en la Universidad de Ibagué en el marco de la concepción de la Organización Mundial y Panamericana de la Salud en Latinoamérica., Investigación y desarrollo,2015/7,2016/5
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Sistema de información para el transporte público colectivo en Ibagué, Investigación y desarrollo,2015/7,2015/7
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Imaginarios urbanos Ibagué - Ibagué imaginada, Investigación y desarrollo,2015/7,Actual
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Estudio sistémico de la movilidad urbana en Ibagué mediante planificación interactiva y dinámica de sistemas, Investigación y desarrollo,2015/7,2016/11
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Estudio sistémico de la movilidad urbana en Ibagué mediante  planificación interactiva y dinámica de sistemas, Investigación y desarrollo,2015/1,2016/7
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Tesis de maestra en diseño y creación interactiva, Investigación y desarrollo,2014/7,2016/10
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Metodología para el diseño idealizado de espacios, Investigación y desarrollo,2014/1,2014/12
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Feria Comunicativa Barrial, Extensión y responsabilidad social CTI,,
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Ibagué Imagina Joven, Investigación y desarrollo,2012/8,2017/7
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Respiración Holotrópica y Corporalidad: Una Marca Transversal, Investigación y desarrollo,2012/5,2014/11
Grupo en Modelado y Simulación de Sistemas Sociales Complejos MYSCO,Programa de Diseño para la Universidad de Ibagué, Investigación y desarrollo,2012/1,2014/12
